'shortTitle','input number'
"1 CANDLES", 19
"1 FULL WIDE", 29
"1 MED PULPIT", 16
"1 PIANO", 18
"1 PIANO-MUSICIAN", 28
"1 PULPIT OVERLAY", 27
"1 RIGHT", 24
"1 SHORT CLOSE", 22
"1 SHORT MED", 21
"1 WIDE", 15
"1 WINDOW L", 25
"1 WINDOW R", 26
"1 CLOSE PULPIT", 17
"1 CHALICE/PULPIT", 20
"1 CHALICE VIRTUAL", 50
"1-2 Prelude Split ", 49
"2 CHALICE", 37
"2 FLOOR CANDLE", 42
"2 FULL WIDE", 47
"2 J  C WIDE", 45
"2 JC WITH PULPIT", 40
"2 MED PULPIT", 32
"2 RIGHT ", 43
"2 PIANO-MUSICIAN", 46
"2 SHORT CLOSE", 35
"2 SHORT MED", 34
"2 WIDE", 31
"2-Candle Close", 38
"AUD 6 GUITAR", 6
"AUD PIANO 1", 2
"AUD PIANO 2", 3
"AUDIO PULPIT", 1
"Audio 7 Vocal", 7
"Audio CABLE-A Output", 13
"Audio In 10", 10
"Audio In 11", 11
"2 PIANO", 36
"Audio In 14", 12
"2 MED WIDE", 44
"Audio In 4", 4
"Audio In 8", 8
"Blank Spring.pptx", 52
"Closing Circle - spring.png", 53
"DONATE OVERLAY 2", 51
"RIGHT FLOOR", 23
"Welcome Slides - Spring", 48
"Audio In 5", 5
"Audio in 9", 9
"camera 1", 14
"camera 2", 30
"2 CHALICE/PULPIT", 39
"2 CLOSE PULPIT", 33
"2 CANDLES", 41
